Seq,loc,v(g),ev(g),iv(g),uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
1,1.1,1.4,1.4,1.4,1.2,1.2,1.2,1.2,1.4,False
2,1.0,1.0,1.0,1.0,1,1,1,1,1,True
3,72.0,7.0,1.0,6.0,17,36,112,86,13,True
4,190.0,3.0,1.0,3.0,17,135,329,271,5,True
5,37.0,4.0,1.0,4.0,11,16,76,50,7,True
6,31.0,2.0,1.0,2.0,14,24,69,42,3,True
7,78.0,9.0,5.0,4.0,0,0,0,0,17,True
8,8.0,1.0,1.0,1.0,4,5,9,7,1,True
9,24.0,2.0,1.0,2.0,0,0,0,0,3,True
10,143.0,22.0,20.0,10.0,0,0,0,0,43,True
11,73.0,10.0,4.0,6.0,0,0,0,0,19,True
12,83.0,11.0,10.0,7.0,0,0,0,0,21,True
13,12.0,3.0,1.0,1.0,11,12,22,15,5,True
14,48.0,4.0,1.0,4.0,19,23,87,42,7,True
15,68.0,8.0,1.0,5.0,0,0,0,0,15,True
16,138.0,22.0,10.0,8.0,0,0,0,0,43,True
17,10.0,1.0,1.0,1.0,4,4,5,4,1,True
18,250.0,49.0,34.0,16.0,32,64,1081,388,97,True
19,77.0,8.0,1.0,1.0,7,10,167,117,15,True
20,85.0,9.0,1.0,7.0,26,47,161,118,13,True
21,110.0,17.0,13.0,8.0,27,59,176,146,33,True
22,49.0,6.0,6.0,3.0,19,24,107,64,11,True
23,187.0,35.0,26.0,16.0,21,56,299,227,69,True
24,27.0,6.0,6.0,3.0,0,0,0,0,11,True
25,38.0,8.0,1.0,3.0,9,16,72,73,15,True
26,294.0,43.0,33.0,24.0,28,113,484,330,85,True
27,29.0,3.0,1.0,3.0,14,25,45,43,5,True
28,160.0,5.0,4.0,3.0,22,103,388,310,9,True
29,94.0,16.0,9.0,5.0,22,29,127,91,31,True
30,48.0,3.0,1.0,3.0,16,44,85,72,5,True
31,14.0,2.0,1.0,2.0,8,10,18,13,3,True
32,32.0,6.0,4.0,4.0,14,21,66,50,11,True
33,11.0,1.0,1.0,1.0,4,4,5,4,1,True
34,20.0,3.0,1.0,1.0,9,5,21,10,5,True
35,39.0,1.0,1.0,1.0,0,0,0,0,1,True
36,63.0,21.0,21.0,8.0,0,0,0,0,41,True
37,78.0,6.0,1.0,5.0,20,28,113,79,11,True
38,209.0,26.0,17.0,19.0,0,0,0,0,47,True
39,6.0,2.0,1.0,1.0,10,5,15,6,3,True
40,44.0,13.0,13.0,7.0,0,0,0,0,25,True
41,24.0,3.0,1.0,1.0,13,7,34,18,5,True
42,23.0,2.0,1.0,2.0,9,15,31,20,3,True
43,69.0,6.0,3.0,4.0,0,0,0,0,11,True
44,148.0,19.0,10.0,11.0,19,57,308,208,37,True
45,83.0,20.0,15.0,7.0,25,29,149,77,39,True
46,53.0,4.0,1.0,4.0,13,21,58,48,7,True
47,97.0,15.0,12.0,4.0,0,0,0,0,29,True
48,25.0,2.0,1.0,2.0,9,23,38,33,3,True
49,466.0,110.0,95.0,85.0,0,0,0,0,219,True
50,110.0,27.0,14.0,9.0,0,0,0,0,53,True
51,113.0,19.0,18.0,11.0,26,63,271,220,37,True
52,119.0,9.0,7.0,7.0,21,53,174,126,17,True
53,15.0,3.0,1.0,2.0,12,12,29,18,5,True
54,44.0,10.0,8.0,10.0,0,0,0,0,19,True
55,124.0,55.0,55.0,55.0,0,0,0,0,109,True
56,8.0,1.0,1.0,1.0,5,6,8,7,1,True
57,8.0,1.0,1.0,1.0,5,6,8,7,1,True
58,162.0,27.0,23.0,26.0,0,0,0,0,53,True
59,113.0,27.0,20.0,16.0,25,57,256,189,53,True
60,8.0,1.0,1.0,1.0,5,6,8,7,1,True
61,8.0,1.0,1.0,1.0,5,5,8,6,1,True
62,9.0,2.0,1.0,1.0,7,6,10,7,3,True
63,179.0,36.0,27.0,35.0,0,0,0,0,71,True
64,171.0,16.0,1.0,16.0,19,76,370,274,31,True
65,77.0,15.0,11.0,15.0,16,51,158,115,29,True
66,8.0,1.0,1.0,1.0,5,6,8,7,1,True
67,12.0,4.0,1.0,1.0,12,12,24,16,7,True
68,42.0,9.0,1.0,4.0,17,30,116,74,27,True
69,14.0,1.0,1.0,1.0,4,17,40,39,1,True
70,19.0,5.0,1.0,1.0,12,8,34,28,9,True
71,88.0,8.0,1.0,7.0,21,24,174,76,15,True
72,13.0,2.0,1.0,2.0,7,19,27,23,3,True
73,46.0,4.0,1.0,4.0,13,18,47,33,7,True
74,129.0,30.0,18.0,25.0,34,52,260,142,58,True
75,20.0,1.0,1.0,1.0,0,0,0,0,1,True
76,22.0,1.0,1.0,1.0,10,17,66,41,1,True
77,32.0,2.0,1.0,2.0,11,32,86,71,3,True
78,13.0,1.0,1.0,1.0,9,5,29,16,1,True
79,12.0,3.0,1.0,2.0,10,6,12,10,5,True
80,6.0,1.0,1.0,1.0,5,4,6,5,1,True
81,17.0,3.0,1.0,1.0,8,7,15,13,5,True
82,5.0,1.0,1.0,1.0,7,5,9,6,1,True
83,227.0,55.0,22.0,26.0,0,0,0,0,109,True
84,68.0,5.0,1.0,4.0,15,32,167,140,9,True
85,37.0,4.0,1.0,4.0,14,20,44,29,7,True
86,106.0,12.0,5.0,9.0,25,44,165,123,22,True
87,18.0,1.0,1.0,1.0,6,10,7,11,1,True
88,100.0,11.0,1.0,7.0,20,40,164,113,21,True
89,99.0,14.0,5.0,11.0,27,64,153,124,24,True
90,53.0,6.0,1.0,3.0,19,22,106,70,11,True
91,4.0,1.0,1.0,1.0,4,4,6,4,1,True
92,4.0,1.0,1.0,1.0,4,4,6,4,1,True
93,4.0,1.0,1.0,1.0,4,4,6,4,1,True
94,4.0,1.0,1.0,1.0,4,4,6,4,1,True
95,4.0,1.0,1.0,1.0,4,4,6,4,1,True
96,50.0,5.0,5.0,3.0,0,0,0,0,9,True
97,14.0,3.0,1.0,1.0,10,5,13,8,5,True
98,11.0,2.0,1.0,1.0,10,6,19,11,3,True
99,174.0,15.0,11.0,7.0,21,86,246,202,29,True
100,33.0,4.0,1.0,3.0,10,21,53,45,7,True
101,4.0,1.0,1.0,1.0,5,3,5,3,1,True
102,13.0,2.0,1.0,2.0,6,10,33,26,3,True
103,135.0,11.0,1.0,9.0,18,78,191,161,21,True
104,49.0,6.0,3.0,5.0,22,25,83,54,11,True
105,45.0,6.0,1.0,3.0,17,32,123,103,11,True
106,65.0,4.0,4.0,1.0,0,0,0,0,7,True
107,40.0,5.0,3.0,5.0,22,24,80,51,9,True
108,59.0,7.0,5.0,7.0,19,29,132,63,13,True
109,31.0,4.0,3.0,4.0,21,21,66,41,7,True
110,45.0,9.0,9.0,5.0,20,29,111,84,17,True
111,31.0,6.0,1.0,3.0,16,14,43,26,11,True
112,28.0,2.0,1.0,2.0,12,11,47,28,3,True
113,49.0,3.0,1.0,3.0,17,22,67,54,5,True
114,30.0,5.0,3.0,4.0,22,22,58,42,9,True
115,146.0,15.0,9.0,9.0,27,51,260,163,29,True
116,127.0,16.0,10.0,9.0,28,68,258,204,31,True
117,85.0,18.0,11.0,1.0,24,38,211,139,35,True
118,28.0,5.0,3.0,4.0,21,21,58,40,9,True
119,21.0,4.0,3.0,3.0,0,0,0,0,7,True
120,127.0,23.0,21.0,8.0,30,57,184,139,45,True
121,45.0,12.0,1.0,6.0,16,18,96,64,23,True
122,31.0,3.0,1.0,2.0,12,21,49,38,5,True
123,11.0,3.0,1.0,2.0,11,8,22,17,5,True
124,28.0,6.0,6.0,4.0,0,0,0,0,11,True
125,61.0,8.0,1.0,3.0,15,11,63,36,15,True
126,12.0,2.0,1.0,1.0,7,6,9,7,3,True
127,20.0,6.0,6.0,2.0,0,0,0,0,11,True
128,28.0,3.0,1.0,2.0,14,25,51,44,5,True
129,55.0,4.0,1.0,4.0,16,7,45,28,7,True
130,38.0,6.0,1.0,3.0,14,9,45,30,11,True
131,14.0,10.0,7.0,6.0,12,5,61,36,19,True
132,142.0,11.0,1.0,3.0,20,14,76,52,21,True
133,29.0,3.0,1.0,2.0,14,25,51,44,5,True
134,15.0,2.0,1.0,2.0,7,6,10,9,3,True
135,54.0,5.0,1.0,4.0,18,13,68,48,9,True
136,105.0,6.0,1.0,4.0,0,0,0,0,11,True
137,29.0,3.0,3.0,2.0,9,15,29,23,5,True
138,15.0,3.0,1.0,1.0,0,0,0,0,5,True
139,24.0,4.0,4.0,2.0,9,16,28,20,7,True
140,25.0,4.0,4.0,2.0,9,17,29,21,7,True
141,88.0,14.0,1.0,14.0,26,42,201,163,15,True
142,116.0,13.0,7.0,12.0,26,67,174,118,23,True
143,71.0,5.0,1.0,4.0,15,49,118,105,9,True
144,49.0,4.0,3.0,3.0,?,?,?,?,?,True
145,87.0,10.0,5.0,4.0,0,0,0,0,18,True
146,19.0,2.0,1.0,2.0,10,11,24,19,3,True
147,99.0,9.0,1.0,7.0,24,43,156,104,15,True
148,84.0,8.0,5.0,5.0,23,34,125,80,14,True
149,77.0,10.0,1.0,10.0,16,27,165,104,19,True
150,139.0,20.0,8.0,3.0,28,32,202,147,39,True
151,37.0,5.0,1.0,1.0,12,21,78,65,9,True
152,29.0,3.0,1.0,3.0,13,19,63,34,5,True
153,20.0,3.0,1.0,3.0,12,9,27,14,5,True
154,31.0,3.0,1.0,3.0,13,21,67,38,5,True
155,34.0,5.0,1.0,1.0,13,13,47,44,9,True
156,62.0,6.0,4.0,5.0,17,33,98,71,11,True
157,132.0,31.0,23.0,12.0,27,45,925,304,61,True
158,18.0,4.0,1.0,3.0,0,0,0,0,7,True
159,68.0,4.0,3.0,4.0,13,42,73,64,7,True
160,4.0,1.0,1.0,1.0,4,3,4,3,1,True
161,22.0,1.0,1.0,1.0,7,10,15,12,1,True
162,10.0,2.0,1.0,1.0,9,6,14,6,3,True
163,76.0,8.0,6.0,7.0,15,24,85,64,14,True
164,20.0,2.0,1.0,2.0,12,24,47,37,3,True
165,20.0,2.0,1.0,2.0,12,23,47,37,3,True
166,31.0,6.0,1.0,2.0,15,11,46,30,11,True
167,89.0,21.0,4.0,5.0,23,19,122,57,34,True
168,81.0,9.0,5.0,4.0,25,32,119,79,17,True
169,30.0,2.0,1.0,2.0,15,18,54,32,3,True
170,47.0,11.0,4.0,6.0,23,20,89,54,20,True
171,191.0,27.0,18.0,23.0,22,47,324,257,53,True
172,36.0,7.0,1.0,4.0,18,15,46,26,13,True
173,43.0,12.0,6.0,5.0,17,14,46,24,20,True
174,219.0,31.0,14.0,7.0,0,0,0,0,61,True
175,8.0,1.0,1.0,1.0,8,5,11,6,1,True
176,14.0,3.0,1.0,2.0,13,17,33,23,5,True
177,24.0,2.0,1.0,2.0,15,9,55,22,3,True
178,24.0,2.0,1.0,2.0,16,10,61,28,3,True
179,26.0,2.0,1.0,2.0,14,11,61,28,3,True
180,70.0,5.0,1.0,1.0,0,0,0,0,9,True
181,24.0,4.0,1.0,2.0,0,0,0,0,7,True
182,25.0,4.0,3.0,3.0,19,19,72,39,7,True
183,36.0,2.0,1.0,2.0,16,21,51,35,3,True
184,29.0,4.0,1.0,3.0,15,26,57,43,7,True
185,28.0,7.0,1.0,4.0,13,18,36,26,13,True
186,6.0,1.0,1.0,1.0,4,6,7,6,1,True
187,40.0,5.0,1.0,5.0,20,22,88,44,9,True
188,45.0,8.0,4.0,6.0,16,12,88,41,15,True
189,45.0,7.0,1.0,6.0,16,12,84,37,13,True
190,4.0,1.0,1.0,1.0,4,3,4,3,1,True
191,160.0,18.0,8.0,6.0,22,18,132,84,35,True
192,27.0,4.0,3.0,2.0,16,15,49,33,7,True
